idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
37,DONE_OK,,46,1,0.5882,1.025,0.1524,0.8148,3,2.379,0.1339,47.1,45.53,47.62,45.45,0.0029,0,0
38,DONE_OK,,38,1,0.4684,1.027,0.1533,0.7412,3,2.2154,0.4091,46.2,45.33,46.94,43.96,0.0215,0,0
39,DONE_OK,,35,1,0.5269,1.106,0.1641,0.3108,3,2.3334,0.0117,71.84,70.31,83.7,68.75,0.0311,0,0
40,DONE_OK,,59,1,0.5637,0.92,0.1625,0.7173,3,2.2815,0.0722,48.5,54.52,55.02,54.92,0.0018,0,0
41,DONE_OK,,59,1,0.5417,1.002,0.1548,-0.0002,3,2.14,-0.0004,60.27,66.25,74.03,64.92,0.027,0,0
42,DONE_OK,,15,1,0.1902,1.12,0.157,0.8962,5,2.8563,0.5248,31.16,32.68,32.82,32.64,0.0023,0,0
43,DONE_OK,,46,1,0.57,1.014,0.1468,0.9759,3,2.0906,0.4723,38.7,36.2,38.84,35.89,0.0015,0,0
44,DONE_OK,,29,1,0.3567,1.018,0.156,1.0731,3,2.4335,0.4753,49.51,48.8,50.57,48.7,0.0026,0,0
45,DONE_OK,,33,1,0.3968,1.02,0.1455,0.2391,3,2.1507,0.2391,58.55,60.64,60.64,58.1,0.0211,0,0
46,DONE_OK,,58,1,0.6109,0.974,0.1566,0.7731,3,2.3518,0.0201,51.82,50.77,52.2,50.52,0.0032,0,0
47,DONE_OK,,34,1,0.5152,1.112,0.1699,0.2942,3,2.3948,0.0106,66.74,64.65,77.45,62.3,0.0471,0,0
48,DONE_OK,,39,1,0.5151,1.044,0.1593,0.2056,3,2.2509,0.0127,72.0,49.84,75.55,46.52,0.0236,0,0
49,DONE_OK,,17,1,0.2246,1.125,0.1432,0.5171,5,3.2354,0.0808,39.93,42.9,42.9,42.95,0.0046,0,0
50,DONE_OK,,38,1,0.4725,1.032,0.1492,1.0008,3,2.175,0.4584,40.62,38.15,41.2,38.05,0.0026,0,0
51,DONE_OK,,43,1,0.5244,1.013,0.1568,0.4889,3,2.2502,0.2883,55.33,57.79,57.79,56.41,0.0199,0,0
52,DONE_OK,,44,1,0.583,1.052,0.1496,0.2088,3,2.2005,0.0111,57.66,51.51,58.04,48.24,0.023,0,0
53,DONE_OK,,10,1,0.1205,1.126,0.1374,0.1643,5,3.5882,0.008,46.1,48.65,48.65,47.75,0.0173,0,0
54,DONE_FAIL,RETRACT,34,1,0.5722,1.083,0.1569,-0.0003,1,3.4231,-0.0068,67.77,83.44,83.44,81.59,0.1749,0,0
55,DONE_OK,,42,1,0.5188,1.043,0.1629,0.6641,3,2.3164,0.2146,44.88,47.62,48.63,45.95,0.0197,0,0
56,DONE_OK,,29,1,0.3083,0.96,0.1594,0.8616,1,2.5345,0.5701,44.04,43.05,47.39,43.02,0.0024,0,0
57,DONE_OK,,49,1,0.6354,1.043,0.1428,0.4167,3,2.1174,0.1825,52.98,51.88,53.74,51.9,0.0025,0,0
58,DONE_OK,,48,1,0.6136,1.035,0.1529,0.5951,3,2.1218,0.229,42.66,41.61,44.16,39.19,0.0223,0,0
