idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
34,DONE_OK,,34,1,0.6011,1.063,0.1519,-0.0002,1,3.4528,-0.011,66.68,79.8,79.8,66.21,0.027,0,0
35,DONE_OK,,28,1,0.3425,1.004,0.156,1.1086,3,2.4527,0.4577,45.0,44.24,45.55,44.38,0.0023,0,0
36,DONE_OK,,37,1,0.4277,0.947,0.1602,1.1995,3,2.3407,0.441,43.05,41.27,43.34,42.11,0.0021,0,0
37,DONE_OK,,56,1,0.6686,1.028,0.1413,0.5161,3,2.0519,0.1246,47.83,46.49,48.01,45.53,0.0214,0,0
38,DONE_OK,,38,1,0.7684,1.067,0.1627,-0.0004,3,2.2835,-0.0071,76.43,69.2,83.97,79.75,0.0202,0,0
39,DONE_OK,,55,1,0.5797,1.039,0.1469,-0.0045,3,1.9682,-0.0045,48.22,44.35,49.76,45.1,0.0272,0,0
40,DONE_OK,,39,1,0.4615,0.986,0.1529,0.4405,3,2.212,0.3937,58.49,58.03,58.69,57.92,0.0022,0,0
41,DONE_OK,,51,1,0.5761,1.048,0.1388,0.5609,6,2.3382,0.0086,39.71,36.82,41.17,38.84,0.0023,0,0
42,DONE_OK,,39,1,0.5246,1.061,0.1625,0.6947,3,2.3384,0.1746,40.16,37.93,40.44,39.34,0.0025,0,0
43,DONE_OK,,26,1,0.3014,1.126,0.1385,0.6128,5,3.1397,0.0622,41.55,41.82,42.83,39.85,0.0021,0,0
44,DONE_OK,,51,1,0.4593,0.922,0.1752,0.1278,6,2.726,0.0416,51.83,51.82,52.91,50.7,0.0224,0,0
45,DONE_OK,,47,1,0.6032,1.058,0.1575,-0.0003,3,2.2088,-0.0057,48.13,42.99,49.13,44.38,0.0222,0,0
46,DONE_OK,,22,1,0.2997,1.126,0.1624,0.7279,5,3.0246,0.0279,41.34,39.63,41.61,39.92,0.0024,0,0
47,DONE_OK,,29,1,0.3349,0.961,0.1642,1.2177,5,2.5348,0.4008,46.81,45.44,46.9,45.71,0.0019,0,0
48,DONE_OK,,38,1,0.4294,0.955,0.1586,1.0219,1,2.4374,0.552,33.11,31.98,33.6,33.12,0.0016,0,0
49,DONE_OK,,3,1,0.0327,1.126,0.1163,-0.0,5,3.7525,-0.0,60.91,63.21,63.21,66.74,0.0063,0,0
50,DONE_OK,,56,1,0.5692,0.915,0.1602,0.9414,3,2.4725,0.1466,60.1,58.25,60.19,58.81,0.0021,0,0
51,DONE_OK,,56,1,0.6379,1.017,0.1503,0.3973,3,2.0485,0.1473,50.34,49.96,50.57,48.05,0.019,0,0
52,DONE_OK,,36,1,0.4427,1.033,0.1591,0.9407,3,2.2179,0.3892,43.7,42.87,44.01,42.01,0.0215,0,0
