Episode 27950 | Score:   10.133 | Avg:  221.499 | Best:  434.866 | Buf: 4,000,000

Episode 28000 | Score:  233.618 | Avg:  215.115 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 28000: Avg=215.115, Buffer=4,000,000



Episode 28050 | Score:  239.099 | Avg:  220.979 | Best:  434.866 | Buf: 4,000,000

Episode 28100 | Score:  239.696 | Avg:  225.682 | Best:  434.866 | Buf: 4,000,000

Episode 28126 | ★ BEST! Score:  439.114 | Avg:  228.005 | Steps: 500 | Noise: 0.050

Episode 28150 | Score:  243.697 | Avg:  227.153 | Best:  439.114 | Buf: 4,000,000

Episode 28200 | Score:  226.033 | Avg:  225.580 | Best:  439.114 | Buf: 4,000,000

Episode 28250 | Score:  222.988 | Avg:  222.773 | Best:  439.114 | Buf: 4,000,000

Episode 28300 | Score:  243.927 | Avg:  225.823 | Best:  439.114 | Buf: 4,000,000

Episode 28350 | Score:  227.489 | Avg:  225.389 | Best:  439.114 | Buf: 4,000,000

Episode 28400 | Score:   67.949 | Avg:  210.942 | Best:  439.114 | Buf: 4,000,000

Episode 28450 | Score:  239.485 | Avg:  202.199 | Best:  439.114 | Buf: 4,000,000

Episode 28500 | Score:  233.942 | Avg:  201.897 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 28500: Avg=201.897, Buffer=4,000,000



Episode 28550 | Score:  240.773 | Avg:  204.746 | Best:  439.114 | Buf: 4,000,000

Episode 28600 | Score:  243.003 | Avg:  206.270 | Best:  439.114 | Buf: 4,000,000

Episode 28650 | Score:  237.175 | Avg:  203.880 | Best:  439.114 | Buf: 4,000,000

Episode 28700 | Score:  241.782 | Avg:  215.961 | Best:  439.114 | Buf: 4,000,000

Episode 28750 | Score:  208.953 | Avg:  219.451 | Best:  439.114 | Buf: 4,000,000

Episode 28800 | Score:  235.017 | Avg:  205.645 | Best:  439.114 | Buf: 4,000,000

Episode 28850 | Score:  198.051 | Avg:  211.307 | Best:  439.114 | Buf: 4,000,000

Episode 28900 | Score:  219.562 | Avg:  226.797 | Best:  439.114 | Buf: 4,000,000

Episode 28950 | Score:  242.406 | Avg:  217.029 | Best:  439.114 | Buf: 4,000,000

Episode 29000 | Score:  243.402 | Avg:  209.217 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 29000: Avg=209.217, Buffer=4,000,000



Episode 29050 | Score:  243.036 | Avg:  216.172 | Best:  439.114 | Buf: 4,000,000

Episode 29100 | Score:  234.000 | Avg:  215.660 | Best:  439.114 | Buf: 4,000,000

Episode 29150 | Score:  236.812 | Avg:  218.063 | Best:  439.114 | Buf: 4,000,000

Episode 29200 | Score:  222.784 | Avg:  225.875 | Best:  439.114 | Buf: 4,000,000

Episode 29250 | Score:  177.721 | Avg:  224.393 | Best:  439.114 | Buf: 4,000,000

Episode 29300 | Score:  235.969 | Avg:  218.797 | Best:  439.114 | Buf: 4,000,000

Episode 29350 | Score:  241.389 | Avg:  217.552 | Best:  439.114 | Buf: 4,000,000

Episode 29400 | Score:  245.013 | Avg:  220.070 | Best:  439.114 | Buf: 4,000,000

Episode 29450 | Score:  243.231 | Avg:  221.796 | Best:  439.114 | Buf: 4,000,000

Episode 29500 | Score:  230.580 | Avg:  218.452 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 29500: Avg=218.452, Buffer=4,000,000



Episode 29550 | Score:  240.736 | Avg:  211.313 | Best:  439.114 | Buf: 4,000,000

Episode 29600 | Score:  244.310 | Avg:  212.426 | Best:  439.114 | Buf: 4,000,000

Episode 29650 | Score:  241.639 | Avg:  221.277 | Best:  439.114 | Buf: 4,000,000

Episode 29700 | Score:  242.453 | Avg:  221.492 | Best:  439.114 | Buf: 4,000,000

Episode 29750 | Score:  177.338 | Avg:  209.469 | Best:  439.114 | Buf: 4,000,000

Episode 29800 | Score:  241.870 | Avg:  209.037 | Best:  439.114 | Buf: 4,000,000

Episode 29850 | Score:   17.430 | Avg:  211.397 | Best:  439.114 | Buf: 4,000,000

Episode 29900 | Score:  243.483 | Avg:  206.847 | Best:  439.114 | Buf: 4,000,000

Episode 29950 | Score:  239.578 | Avg:  205.396 | Best:  439.114 | Buf: 4,000,000

Episode 30000 | Score:  243.247 | Avg:  211.363 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 30000: Avg=211.363, Buffer=4,000,000



Episode 30050 | Score:  211.396 | Avg:  215.491 | Best:  439.114 | Buf: 4,000,000

Episode 30100 | Score:  213.720 | Avg:  216.862 | Best:  439.114 | Buf: 4,000,000

Episode 30150 | Score:  237.235 | Avg:  221.125 | Best:  439.114 | Buf: 4,000,000

Episode 30200 | Score:  240.014 | Avg:  220.855 | Best:  439.114 | Buf: 4,000,000

Episode 30250 | Score:  228.132 | Avg:  214.960 | Best:  439.114 | Buf: 4,000,000

Episode 30300 | Score:  236.816 | Avg:  207.606 | Best:  439.114 | Buf: 4,000,000

Episode 30350 | Score:  240.565 | Avg:  215.667 | Best:  439.114 | Buf: 4,000,000

Episode 30400 | Score:  244.095 | Avg:  224.583 | Best:  439.114 | Buf: 4,000,000

Episode 30450 | Score:  238.810 | Avg:  222.810 | Best:  439.114 | Buf: 4,000,000

Episode 30500 | Score:  243.525 | Avg:  219.611 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 30500: Avg=219.611, Buffer=4,000,000



Episode 30550 | Score:  240.014 | Avg:  213.234 | Best:  439.114 | Buf: 4,000,000

Episode 30600 | Score:    2.330 | Avg:  208.764 | Best:  439.114 | Buf: 4,000,000

Episode 30650 | Score:   21.093 | Avg:  205.128 | Best:  439.114 | Buf: 4,000,000

Episode 30700 | Score:  239.821 | Avg:  212.518 | Best:  439.114 | Buf: 4,000,000

Episode 30750 | Score:  203.807 | Avg:  209.283 | Best:  439.114 | Buf: 4,000,000

Episode 30800 | Score:  207.776 | Avg:  204.361 | Best:  439.114 | Buf: 4,000,000

Episode 30850 | Score:  243.076 | Avg:  213.310 | Best:  439.114 | Buf: 4,000,000

Episode 30900 | Score:    1.163 | Avg:  214.617 | Best:  439.114 | Buf: 4,000,000

Episode 30950 | Score:    4.935 | Avg:  217.879 | Best:  439.114 | Buf: 4,000,000

Episode 31000 | Score:  239.050 | Avg:  215.273 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 31000: Avg=215.273, Buffer=4,000,000



Episode 31050 | Score:  242.532 | Avg:  207.188 | Best:  439.114 | Buf: 4,000,000

Episode 31100 | Score:  237.468 | Avg:  212.549 | Best:  439.114 | Buf: 4,000,000

Episode 31150 | Score:  239.835 | Avg:  221.998 | Best:  439.114 | Buf: 4,000,000

Episode 31200 | Score:  227.426 | Avg:  222.065 | Best:  439.114 | Buf: 4,000,000

Episode 31250 | Score:  225.498 | Avg:  221.918 | Best:  439.114 | Buf: 4,000,000

Episode 31300 | Score:  241.459 | Avg:  222.519 | Best:  439.114 | Buf: 4,000,000

Episode 31350 | Score:  228.671 | Avg:  218.129 | Best:  439.114 | Buf: 4,000,000

Episode 31400 | Score:  232.014 | Avg:  217.580 | Best:  439.114 | Buf: 4,000,000

Episode 31450 | Score:  238.871 | Avg:  223.147 | Best:  439.114 | Buf: 4,000,000

Episode 31500 | Score:  243.354 | Avg:  213.531 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 31500: Avg=213.531, Buffer=4,000,000



Episode 31550 | Score:  215.644 | Avg:  208.441 | Best:  439.114 | Buf: 4,000,000

Episode 31600 | Score:  236.188 | Avg:  207.713 | Best:  439.114 | Buf: 4,000,000

Episode 31650 | Score:  200.283 | Avg:  207.840 | Best:  439.114 | Buf: 4,000,000

Episode 31700 | Score:    1.677 | Avg:  216.528 | Best:  439.114 | Buf: 4,000,000

Episode 31750 | Score:    2.248 | Avg:  216.435 | Best:  439.114 | Buf: 4,000,000

Episode 31800 | Score:  239.956 | Avg:  219.114 | Best:  439.114 | Buf: 4,000,000

Episode 31850 | Score:  243.489 | Avg:  228.685 | Best:  439.114 | Buf: 4,000,000

Episode 31900 | Score:  227.904 | Avg:  231.224 | Best:  439.114 | Buf: 4,000,000

